Canonical	Mappable	Mapped	Names	Description	Link
achad-tarlang	1	1	Tarlang's Neck	The pass into eastern Lamedon	http://www.glyphweb.com/arda/t/tarlangsneck.html
adorn	1	1	Adorn / River Adorn	Rohans western border	http://www.glyphweb.com/arda/a/adorn.html
aglarond	1	1	Aglarond	The Glittering Caves	http://www.glyphweb.com/arda/a/aglarond.html
aglarond	1	1	Glæmscrafu	The Glittering Caves	http://www.glyphweb.com/arda/g/glaemscrafu.html
aglarond	1	1	Glittering Caves	The caverns behind Helms Deep	http://www.glyphweb.com/arda/g/glitteringcaves.html
amon-anwar	1	1	Amon Anwar	The Hill of Awe	http://www.glyphweb.com/arda/a/amonanwar.html
amon-anwar	1	1	Eilenaer	The peak later known as the Halifirien	http://www.glyphweb.com/arda/e/eilenaer.html
amon-anwar	1	1	Halifirien	The mountain of the Firien Wood	http://www.glyphweb.com/arda/h/halifirien.html
amon-anwar	1	1	Hill of Awe	The Halifirien on the borders of Rohan	http://www.glyphweb.com/arda/h/hillofawe.html
amon-anwar	1	1	Hill of Anwar	An old name for the Halifirien	http://www.glyphweb.com/arda/h/hillofanwar.html
amon-craban	1	1	Ravenhill	An old guard-post of Erebor	http://www.glyphweb.com/arda/r/ravenhill.html
amon-din	1	1	Amon Dîn	The Silent Hill	http://www.glyphweb.com/arda/a/amondin.html
amon-din	1	1	Silent Hill	The Beacon-hill of Amon Dîn	http://www.glyphweb.com/arda/s/silenthill.html
amon-hen	1	1	Amon Hen	The Hill of Sight	http://www.glyphweb.com/arda/a/amonhen.html
amon-hen	1	1	Hill of Sight	A name for Amon Hen	http://www.glyphweb.com/arda/h/hillofsight.html
amon-hen	1	1	Hill of the Eye	"Amon Hen, the Hill of Sight"	http://www.glyphweb.com/arda/h/hilloftheeye.html
amon-hen	1	1	Seat of Amon Hen		http://www.glyphweb.com/arda/s/seatofamonhen.html
amon-lanc	1	1	Amon Lanc	The hill beneath Dol Guldur	http://www.glyphweb.com/arda/a/amonlanc.html
