Canonical	Names	Description	Source	Link
achad-tarlang	Tarlang's Neck	The pass into eastern Lamedon	Encyclopedia Arda	http://www.glyphweb.com/arda/t/tarlangsneck.html
achad-tarlang	Tarlang's Neck		The Thain's Book	http://www.tuckborough.net/caves.html#Tarlang's
achad-tarlang	Tarlang's Neck / Achad Tarlang		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Tarlang%27s_Neck
adorn	Adorn / River Adorn	Rohans western border	Encyclopedia Arda	http://www.glyphweb.com/arda/a/adorn.html
adorn	Adorn		The Thain's Book	http://www.tuckborough.net/rivers.html#Adorn
adorn	Adorn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Adorn
adurant	Adurant / River Adurant	Southernmost of the tributaries of Gelion	Encyclopedia Arda	http://www.glyphweb.com/arda/a/adurant.html
aelin-uial	Aelin-uial	The Twilit Meres of the River Sirion	Encyclopedia Arda	http://www.glyphweb.com/arda/a/aelinuial.html
aelin-uial	Meres of Twilight	The lakeland region of Aelin-uial	Encyclopedia Arda	http://www.glyphweb.com/arda/m/meresoftwilight.html
aelin-uial	Twilight Meres	The shaded waterways of the Aelin-uial	Encyclopedia Arda	http://www.glyphweb.com/arda/t/twilightmeres.html
aelin-uial	Twilit Meres	The pools of the Aelin-uial	Encyclopedia Arda	http://www.glyphweb.com/arda/t/twilitmeres.html
aeluin	Aeluin / Tarn Aeluin	The refuge of Barahir	Encyclopedia Arda	http://www.glyphweb.com/arda/a/aeluin.html
aeluin	Aeluin / Tarn Aeluin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Aeluin
aglarond	Aglarond	The Glittering Caves	Encyclopedia Arda	http://www.glyphweb.com/arda/a/aglarond.html
aglarond	Glæmscrafu	The Glittering Caves	Encyclopedia Arda	http://www.glyphweb.com/arda/g/glaemscrafu.html
aglarond	Glittering Caves	The caverns behind Helms Deep	Encyclopedia Arda	http://www.glyphweb.com/arda/g/glitteringcaves.html
aglarond	Glittering Caves		The Thain's Book	http://www.tuckborough.net/caves.html#Glittering
aglarond	Aglarond / Caverns of Helm's Deep		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Aglarond
aglarond	Glittering Caves		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Glittering_Caves
almaida	Almaida	A haven of northwestern Númenor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/almaida.html
almaren	Almaren / Isle of Almaren	The ancient home of the Valar	Encyclopedia Arda	http://www.glyphweb.com/arda/a/almaren.html
